中華臺湾,#genre#
壹电视新闻台,http://220.134.74.149:7878/udp/230.1.2.18:11111
壹电视新闻台,http://220.134.74.149:7878/udp/230.1.2.188:11111
富立电视台,http://220.134.74.149:7878/udp/224.1.4.138:11111
富立电视台,http://220.134.74.149:7878/udp/224.1.4.35:11111
智林体育,http://220.134.74.149:7878/udp/224.1.4.238:11111
智林体育,http://220.134.74.149:7878/udp/230.1.2.78:11111
猫熊频道,http://220.134.74.149:7878/udp/224.1.4.116:11111
猫熊频道,http://220.134.74.149:7878/udp/230.1.2.140:11111
韩国娱乐台KMTV,http://220.134.74.149:7878/udp/224.1.4.232:11111
韩国娱乐台KMTV,http://220.134.74.149:7878/udp/230.1.2.66:11111
新唐人亚太台,http://220.134.74.149:7878/udp/224.1.4.165:11111
新唐人亚太台,http://220.134.74.149:7878/udp/230.1.2.50:11111
滚动力 rollor,http://220.134.74.149:7878/udp/224.1.4.236:11111
滚动力 rollor,http://220.134.74.149:7878/udp/230.1.2.70:11111
CI,http://220.134.74.149:7878/udp/224.1.4.85:11111
CI,http://220.134.74.149:7878/udp/230.1.2.238:11111
靖天日本台,http://220.134.74.149:7878/udp/224.1.4.103:11111
靖天日本台,http://220.134.74.149:7878/udp/230.1.2.221:11111
靖天卡通台,http://220.134.74.149:7878/udp/224.1.4.25:11111
靖天卡通台,http://220.134.74.149:7878/udp/230.1.2.162:11111
靖天电影台,http://220.134.74.149:7878/udp/224.1.4.42:11111
靖天电影台,http://220.134.74.149:7878/udp/230.1.2.243:11111
靖天戏剧台,http://220.134.74.149:7878/udp/224.1.4.40:11111
靖天戏剧台,http://220.134.74.149:7878/udp/230.1.2.163:11111
靖天育乐台,http://220.134.74.149:7878/udp/224.1.4.28:11111
靖天育乐台,http://220.134.74.149:7878/udp/230.1.2.194:11111
靖天国际,http://220.134.74.149:7878/udp/224.1.4.106:11111
靖天国际,http://220.134.74.149:7878/udp/224.1.4.220:11111
靖天映画,http://220.134.74.149:7878/udp/224.1.4.28:11111
靖天映画,http://220.134.74.149:7878/udp/230.1.2.236:11111
靖天信息台,http://220.134.74.149:7878/udp/224.1.4.30:11111
靖天信息台,http://220.134.74.149:7878/udp/230.1.2.184:11111
靖天综合台,http://220.134.74.149:7878/udp/224.1.4.104:11111
靖天综合台,http://220.134.74.149:7878/udp/224.1.4.199:11111
靖洋卡通台,http://220.134.74.149:7878/udp/224.1.4.23:11111
靖洋卡通台,http://220.134.74.149:7878/udp/230.1.2.161:11111
靖洋戏剧台,http://220.134.74.149:7878/udp/224.1.4.107:11111
靖洋戏剧台,http://220.134.74.149:7878/udp/230.1.2.240:11111
频道总表,http://220.134.74.149:7878/udp/230.1.2.107:11111
频道总表,http://220.134.74.149:7878/udp/230.1.2.108:11111
影迷数位电影,http://220.134.74.149:7878/udp/230.1.2.20:11111
影迷数位纪实,http://220.134.74.149:7878/udp/224.1.4.226:11111
影迷数位纪实,http://220.134.74.149:7878/udp/230.1.2.23:11111
寰宇HD综合,http://220.134.74.149:7878/udp/224.1.4.87:11111
寰宇HD综合,http://220.134.74.149:7878/udp/230.1.2.148:11111
寰宇财经,http://220.134.74.149:7878/udp/224.1.4.56:11111
寰宇财经,http://220.134.74.149:7878/udp/230.1.2.249:11111
寰宇新闻,http://220.134.74.149:7878/udp/224.1.4.51:11111
寰宇新闻,http://220.134.74.149:7878/udp/230.1.2.252:11111
寰宇新闻台湾台,http://220.134.74.149:7878/udp/224.1.4.101:11111
