
港澳台一线,#genre#
影迷数位纪实台,http://www.238311.cn:538/x1243y.php?id=ymswjst
影迷数字电影台,http://www.238311.cn:538/x1243y.php?id=fans-cinema
视纳华仁纪实频道,http://www.238311.cn:538/x1243y.php?id=cnex
MTV Live HD 频道,http://www.238311.cn:538/x1243y.php?id=mtv
ELTA 娱乐台,http://www.238311.cn:538/x1243y.php?id=elta-ylt
Channel 5,http://www.238311.cn:538/x1243y.php?id=channel-5
Channel 8,http://www.238311.cn:538/x1243y.php?id=channel8
Channel U,http://www.238311.cn:538/x1243y.php?id=channel-u
8TV,http://www.238311.cn:538/x1243y.php?id=8tv
TV9,http://www.238311.cn:538/x1243y.php?id=tv9
CM+,http://www.238311.cn:538/x1243y.php?id=cm-plus
E乐,http://www.238311.cn:538/x1243y.php?id=singtel-tv
TV1,http://www.238311.cn:538/x1243y.php?id=tv1-my
TV1,mitv://generationnexxxt.com:19806/a3299ebd988b447992cf982df2ea7562 
TV2,http://www.238311.cn:538/x1243y.php?id=tv2-my
TV2,mitv://generationnexxxt.com:19806/facbc81537924664aaf429b4e0faec17 
TV3,http://www.238311.cn:538/x1243y.php?id=tv3-my
TV3,mitv://generationnexxxt.com:19806/6a00a0b3636340a4bc00626fedaa36f6 
ChannelNewsAsia,http://www.238311.cn:538/x1243y.php?id=channelnewsasia
OKEY,http://www.238311.cn:538/x1243y.php?id=okey
Magic,http://www.238311.cn:538/x1243y.php?id=tvb-magic
tvN Movies,http://www.238311.cn:538/x1243y.php?id=tvn-movies
AXN,http://www.238311.cn:538/x1243y.php?id=axn
AXN,mitv://generationnexxxt.com:19806/893f7dec641a42458f47ccfbd93525ba 
AXN,mitv://135.148.104.228:19806/893f7dec641a42458f47ccfbd93525ba 
TV Alhijrah,http://www.238311.cn:538/x1243y.php?id=tv-alhijrah
ColorsHindi,http://www.238311.cn:538/x1243y.php?id=colorshindi
TVS,http://www.238311.cn:538/x1243y.php?id=tvs
tvN,http://www.238311.cn:538/x1243y.php?id=tvn
tvN,mitv://generationnexxxt.com:19806/c6e40b3dec3344909fc0ca9378a7f4c7 
BeritaRTM,http://www.238311.cn:538/x1243y.php?id=beritartm
SukanRTM,http://www.238311.cn:538/x1243y.php?id=sukanrtm
HITSMovies,http://www.238311.cn:538/x1243y.php?id=hitsmovies
ShowCase,http://www.238311.cn:538/x1243y.php?id=showcase
BBCEarth,http://www.238311.cn:538/x1243y.php?id=bbcearth
Mediacorp Suria,http://www.238311.cn:538/x1243y.php?id=mediacorp-suria
Mediacorp Vasantham,http://www.238311.cn:538/x1243y.php?id=mediacorp-vasantham
Gem,http://www.238311.cn:538/x1243y.php?id=gem
GlobalTrekker,http://www.238311.cn:538/x1243y.php?id=globaltrekker
DramaSangat,http://www.238311.cn:538/x1243y.php?id=dramasangat
SunTV,http://www.238311.cn:538/x1243y.php?id=suntv
SunMusic,http://www.238311.cn:538/x1243y.php?id=sunmusic
SunNews,http://www.238311.cn:538/x1243y.php?id=sunnews
AwesomeTV,http://www.238311.cn:538/x1243y.php?id=awesometv
DidikTV7,http://www.238311.cn:538/x1243y.php?id=didiktv7
Adithya,http://www.238311.cn:538/x1243y.php?id=adithya
KTVHD,http://www.238311.cn:538/x1243y.php?id=ktvhd
SunLife,http://www.238311.cn:538/x1243y.php?id=sunlife
